Camsite,Latitude,Longitude,Hdens,Park_ID,Trail,OffTrail,NVDI,People,Det_dist,ABC
Gambrill 9A,0.3947606,-0.7749341,4.991981125,32,1,0,0.846910134,0.413,1.3,A
Gambrill 9B,0.3947607,-0.7749377,4.947571945,32,0,1,0.845437471,0,1.6,B
Gambrill 9C,0.3947578,-0.7749486,4.871696472,32,0,1,0.845802323,0,1,C
George Washington NF 10C,0.3848221,-0.7869209,0.409135723,8,0,1,0.862251047,0,1,C
George Washington NF 12A,0.3849105,-0.7869668,0.418115139,8,1,0,0.875950159,0.075,0.7,A
George Washington NF 12B,0.3849153,-0.7869626,0.421743917,8,0,1,0.876025959,0,0.8,B
George Washington NF 13A,0.3849189,-0.7869932,0.426469898,8,1,0,0.75592697,0.207,1.1,A
George Washington NF 13B,0.3849233,-0.7869888,0.430326128,8,0,1,0.75045765,0,1.1,B
George Washington NF 13C,0.384934,-0.7869789,0.441808319,8,0,1,0.750171002,0,1.1,C
George Washington NF 14A,0.385356,-0.786725,0.484360123,8,1,0,0.86243439,0.01,0.7,A
George Washington NF 14B,0.385353,-0.7867184,0.482677317,8,0,1,0.87191899,0,0.8,B
George Washington NF 14C,0.3853508,-0.7867016,0.484081364,8,0,1,0.862214907,0,0.3,C
George Washington NF 15A,0.385377,-0.7867089,0.465228987,8,1,0,0.670110975,0.039,1.7,A
George Washington NF 15B,0.3853738,-0.786705,0.465537691,8,0,1,0.67039169,0,1.1,B
George Washington NF 15C,0.3853682,-0.7866903,0.47037344,8,0,1,0.675836721,0,1.1,C
George Washington NF 16A,0.3853931,-0.7866933,0.452543736,8,1,0,0.798809692,0.013,1.7,A
George Washington NF 16C,0.3853886,-0.7866688,0.466572571,8,0,1,0.7975283,0,0.7,C
George Washington NF 18A,0.3854359,-0.7866786,0.436188936,8,1,0,0.677714932,0.069,1.4,A
George Washington NF 18B,0.3854325,-0.7866727,0.437461376,8,0,1,0.677962423,0,1.4,B
George Washington NF 19A,0.3854581,-0.786673,0.422717953,8,1,0,0.811057264,0.028,1.7,A
George Washington NF 19B,0.3854565,-0.786666,0.423631191,8,0,1,0.810429354,0.004,1.8,B
George Washington NF 19C,0.3854501,-0.7866593,0.429123688,8,0,1,0.810142215,0,0.8,C
George Washington NF 1A,0.3847425,-0.7869041,0.441171551,8,1,0,0.867834878,0.029,1,A
George Washington NF 1B,0.3847462,-0.7868996,0.444498539,8,0,1,0.867123956,0,0.85,B
