Site,1,2,3,4,5,6,7
Cato/Cunn 54B,0,0,0,0,0,0,0
Cato/Cunn 54C,0,0,0,0,0,0,0
Cato/Cunn 57A,0,0,0,0,0,0,0
Cato/Cunn 57B,0,0,0,0,0,0,0
Cato/Cunn 57C,0,0,0,0,0,0,0
Cato/Cunn 59A,0,0,0,0,0,0,0
Cato/Cunn 59B,0,0,0,0,0,0,0
Cato/Cunn 59C,0,0,0,0,0,0,0
Cato/Cunn 60A,0,0,0,0,0,0,0
Cato/Cunn 60C,0,0,0,0,0,0,0
Cato/Cunn 62A,0,0,0,0,0,0,0
Cato/Cunn 62C,0,0,0,0,0,0,0
Cato/Cunn 63A,0,0,0,0,0,0,0
Cato/Cunn 63B,0,0,0,0,0,0,0
Cato/Cunn 64A,0,0,0,0,0,0,0
Cato/Cunn 64B,0,0,0,0,0,0,0
Cato/Cunn 64C,0,0,0,0,0,0,0
Cato/Cunn 65A,0,0,0,0,0,0,0
Cato/Cunn 65B,0,0,0,0,0,0,0
Cato/Cunn 65C,0,0,0,0,0,0,0
Cato/Cunn 66A,0,0,0,0,0,0,0
Cato/Cunn 66B,0,0,0,0,0,0,0
Cato/Cunn 66C,0,0,0,0,0,0,0
Cato/Cunn 6A,0,0,0,0,0,0,0
Cato/Cunn 6B,0,0,0,0,0,0,0
Cato/Cunn 72A,0,0,0,0,0,0,0
Cato/Cunn 72B,0,0,0,0,0,0,0
Cato/Cunn 73A,0,0,0,0,0,0,0
Cato/Cunn 73B,0,0,0,0,0,0,0
Cato/Cunn 73C,0,0,0,0,0,0,0
Cato/Cunn 7A,0,0,0,0,0,0,0
Cato/Cunn 7B,0,0,0,0,0,0,0
Cato/Cunn 7C,0,0,0,0,0,0,0
Cheraw 10A,0,0,0,0,0,0,0
Cheraw 10B,0,0,0,0,0,0,0
Cheraw 11A,0,0,0,0,0,0,0
Cheraw 11B,0,0,0,0,0,0,0
Cheraw 11C,0,0,0,0,0,0,0
Cheraw 12A,0,0,0,0,0,0,0
Cheraw 12B,0,0,0,0,0,0,0
Cheraw 12C,0,0,0,0,0,0,0
Cheraw 13A,0,0,0,0,0,0,0
Cheraw 13C,0,0,0,0,0,0,0
Cheraw 14A,0,0,0,0,0,0,0
Cheraw 14B,0,0,0,0,0,0,0
Cheraw 14C,0,0,0,0,0,0,0
Cheraw 15A,0,0,0,0,0,0,0
Cheraw 15B,0,0,0,0,0,0,0
Cheraw 16A,0,0,0,0,0,0,0
Cheraw 16B,0,0,0,0,0,0,0
Cheraw 16C,0,0,0,0,0,0,0
Cheraw 17A,0,0,0,0,0,0,0
Cheraw 17B,0,0,0,0,0,0,0
Cheraw 17C,0,0,0,0,0,0,0
Cheraw 18A,0,0,0,0,0,0,0
Cheraw 18B,0,0,0,0,0,0,0
Cheraw 18C,0,0,0,0,0,0,0
Cheraw 19A,0,0,0,0,0,0,0
Cheraw 19B,0,0,0,0,0,0,0
Cheraw 19C,0,0,0,0,0,0,0
Cheraw 1A,0,0,0,0,0,0,0
Cheraw 1C,0,0,0,0,0,0,0
Cheraw 20A,0,0,0,0,0,0,0
Cheraw 21A,0,0,0,0,0,0,0
Cheraw 21B,0,0,0,0,0,0,0
Cheraw 21C,0,0,0,0,0,0,0
Cheraw 22A,0,0,0,0,0,0,0
Cheraw 22B,0,0,0,0,0,0,0
Cheraw 22C,0,0,0,0,0,0,0
Cheraw 23A,0,0,0,0,0,0,0
Cheraw 23C,0,0,0,0,0,0,0
Cheraw 24A,0,0,0,0,0,0,0
Cheraw 24B,0,0,0,0,0,0,0
Cheraw 2A,0,0,0,0,0,0,0
Cheraw 2B,0,0,0,0,0,0,0
Cheraw 3A,0,0,0,0,0,0,0
Cheraw 3B,0,0,0,0,0,0,0
Cheraw 4A,0,0,0,0,0,0,0
Cheraw 4B,0,0,0,0,0,0,0
Cheraw 4C,0,0,0,0,0,0,0
Cheraw 5A,0,0,0,0,0,0,0
Cheraw 5B,0,0,0,0,0,0,0
Cheraw 5C,0,0,0,0,0,0,0
Cheraw 6B,0,0,0,0,0,0,0
Cheraw 6C,0,0,0,0,0,0,0
Cheraw 7A,0,0,0,0,0,0,0
Cheraw 7B,0,0,0,0,0,0,0
Cheraw 8A,0,0,0,0,0,0,0
Cheraw 8B,0,0,0,0,0,0,0
Cheraw 9A,0,0,0,0,0,0,0
Cheraw 9B,0,0,0,0,0,0,0
Fall Creek Falls 10A,0,0,0,0,0,0,0
Fall Creek Falls 11A,0,0,0,0,0,0,0
Fall Creek Falls 11B,0,0,0,0,0,0,0
Fall Creek Falls 11C,0,0,0,0,0,0,0
Fall Creek Falls 12A,0,0,0,0,0,0,0
Fall Creek Falls 12B,0,0,0,0,0,0,0
Fall Creek Falls 13A,0,1,0,0,0,0,0
Fall Creek Falls 13B,0,0,0,0,0,0,0
Fall Creek Falls 13C,0,0,0,0,0,0,0
Fall Creek Falls 14A,0,0,0,0,0,0,0
Fall Creek Falls 14B,0,0,0,0,0,0,0
Fall Creek Falls 14C,0,0,0,0,0,0,0
Fall Creek Falls 15A,1,0,0,0,0,0,0
Fall Creek Falls 15B,0,0,0,0,0,0,0
Fall Creek Falls 15C,0,0,0,0,0,0,0
Fall Creek Falls 16A,0,0,1,0,0,0,0
Fall Creek Falls 16B,0,0,0,0,0,0,0
Fall Creek Falls 17B,0,0,0,0,0,0,0
Fall Creek Falls 17C,0,0,0,0,0,0,0
Fall Creek Falls 18A,0,0,0,0,0,0,0
Fall Creek Falls 18B,0,0,0,0,0,0,0
Fall Creek Falls 19A,0,0,0,0,0,0,0
Fall Creek Falls 19B,0,0,0,0,0,0,0
Fall Creek Falls 19C,0,0,0,0,0,0,0
Fall Creek Falls 1C,0,0,0,0,0,0,0
Fall Creek Falls 20A,0,0,0,0,0,0,0
Fall Creek Falls 20C,0,0,0,0,0,0,0
Fall Creek Falls 21A,0,0,0,0,0,0,0
Fall Creek Falls 21B,0,0,0,0,0,0,0
Fall Creek Falls 21C,0,0,0,0,0,0,0
Fall Creek Falls 22A,0,0,0,0,0,0,0
Fall Creek Falls 22B,0,0,0,0,0,0,0
Fall Creek Falls 22C,0,0,0,0,0,0,0
Fall Creek Falls 23B,0,0,0,0,0,0,0
Fall Creek Falls 23C,0,0,0,0,0,0,0
Fall Creek Falls 24A,0,0,0,0,0,0,0
Fall Creek Falls 24B,0,0,0,0,0,0,0
Fall Creek Falls 24C,0,0,0,0,0,0,0
Fall Creek Falls 2A,0,0,0,0,0,0,0
Fall Creek Falls 3A,0,1,0,0,0,0,0
Fall Creek Falls 3C,0,0,0,0,0,0,0
Fall Creek Falls 4A,1,0,0,0,0,0,0
Fall Creek Falls 4B,0,0,0,0,0,0,0
Fall Creek Falls 4C,0,0,0,0,0,0,0
Fall Creek Falls 5A,0,0,0,0,0,0,0
Fall Creek Falls 5B,0,0,0,0,0,0,0
Fall Creek Falls 5C,0,0,0,0,0,0,0
Fall Creek Falls 6A,0,0,0,0,0,0,0
Fall Creek Falls 6B,0,0,0,0,0,0,0
Fall Creek Falls 6C,0,0,0,0,0,0,1
Fall Creek Falls 7A,0,0,0,0,0,0,0
Fall Creek Falls 7B,0,0,0,0,0,0,0
Fall Creek Falls 7C,0,0,0,0,0,0,0
Fall Creek Falls 8A,0,0,0,0,0,0,0
Fall Creek Falls 8B,0,0,0,0,0,0,0
Fall Creek Falls 8C,0,0,0,0,0,0,0
Fall Creek Falls 9A,0,0,0,0,0,0,0
Fall Creek Falls 9B,0,0,0,0,0,0,0
Fall Creek Falls 9C,0,0,0,0,0,0,0
Frozen Head Hunted 10B,0,0,0,0,0,0,0
Frozen Head Hunted 10C,0,0,0,0,0,0,0
Frozen Head Hunted 11B,0,0,0,0,0,0,0
Frozen Head Hunted 13A,0,0,0,0,0,0,0
Frozen Head Hunted 13B,0,0,0,0,0,0,0
Frozen Head Hunted 13C,0,0,0,0,0,0,0
Frozen Head Hunted 14A,1,0,0,0,0,1,0
Frozen Head Hunted 14B,0,0,0,0,0,0,0
Frozen Head Hunted 14C,0,0,0,0,0,0,0
Frozen Head Hunted 17A,0,0,0,0,0,0,0
Frozen Head Hunted 17B,0,0,0,0,0,0,0
Frozen Head Hunted 17C,0,0,0,0,0,0,0
Frozen Head Hunted 18A,0,0,0,0,0,0,0
Frozen Head Hunted 18B,0,0,0,0,0,0,0
Frozen Head Hunted 18C,0,0,0,0,0,0,0
Frozen Head Hunted 19A,0,0,0,0,0,0,0
Frozen Head Hunted 19B,0,0,0,0,0,0,0
Frozen Head Hunted 19C,0,0,0,0,0,0,0
Frozen Head Hunted 1A,0,0,0,0,0,0,0
Frozen Head Hunted 1B,0,0,0,0,0,0,0
Frozen Head Hunted 1C,0,0,0,0,0,0,0
Frozen Head Hunted 20A,0,0,0,0,0,0,0
Frozen Head Hunted 20B,0,0,0,0,0,0,0
Frozen Head Hunted 20C,1,0,0,0,1,0,0
Frozen Head Hunted 21B,0,0,0,0,0,0,0
Frozen Head Hunted 21C,0,0,1,0,0,0,0
Frozen Head Hunted 22B,0,0,0,0,0,0,0
Frozen Head Hunted 22C,0,0,0,0,0,0,0
Frozen Head Hunted 23A,0,0,0,0,0,0,0
Frozen Head Hunted 23B,0,0,0,0,0,0,0
Frozen Head Hunted 23C,0,0,0,0,0,0,0
Frozen Head Hunted 24B,0,0,0,0,0,0,0
Frozen Head Hunted 24C,0,0,0,0,0,0,0
Frozen Head Hunted 2A,0,0,0,0,0,0,0
Frozen Head Hunted 2B,0,0,0,0,0,0,0
Frozen Head Hunted 2C,0,0,0,0,0,0,0
Frozen Head Hunted 3B,0,0,0,0,0,0,0
Frozen Head Hunted 3C,0,0,0,0,0,0,0
Frozen Head Hunted 4B,0,0,0,0,0,0,0
Frozen Head Hunted 4C,0,0,0,1,0,1,0
Frozen Head Hunted 9B,0,0,0,0,0,0,0
Frozen Head Hunted 9C,0,0,0,0,0,0,0
Frozen Head Unhunted 10A,0,0,0,0,0,0,0
Frozen Head Unhunted 10B,0,0,0,0,0,0,0
Frozen Head Unhunted 10C,0,0,0,0,0,0,0
Frozen Head Unhunted 11A,0,0,0,0,0,0,0
Frozen Head Unhunted 11B,0,0,0,0,0,0,0
Frozen Head Unhunted 11C,0,0,0,0,0,0,0
Frozen Head Unhunted 12A,0,0,0,0,0,0,0
Frozen Head Unhunted 12B,1,0,0,0,1,0,0
Frozen Head Unhunted 12C,0,0,0,0,0,0,0
Frozen Head Unhunted 13A,0,0,0,0,0,0,0
Frozen Head Unhunted 13B,0,0,0,0,0,0,0
Frozen Head Unhunted 13C,0,0,0,0,0,0,0
Frozen Head Unhunted 14A,0,0,0,0,0,0,0
Frozen Head Unhunted 14B,1,0,0,0,0,0,0
Frozen Head Unhunted 14C,0,0,0,0,0,0,0
Frozen Head Unhunted 15A,0,0,0,0,0,0,0
Frozen Head Unhunted 15B,0,0,0,0,0,1,1
Frozen Head Unhunted 15C,0,0,0,0,0,0,0
Frozen Head Unhunted 16A,0,0,0,0,0,0,0
Frozen Head Unhunted 16B,0,0,0,0,0,0,1
Frozen Head Unhunted 16C,0,0,0,0,0,0,0
Frozen Head Unhunted 17A,0,0,0,0,0,0,0
Frozen Head Unhunted 17B,0,0,0,0,0,0,0
Frozen Head Unhunted 17C,0,0,0,0,0,0,0
Frozen Head Unhunted 19B,0,0,0,0,0,0,0
Frozen Head Unhunted 19C,0,0,0,0,0,0,0
Frozen Head Unhunted 1B,0,0,0,0,0,0,0
Frozen Head Unhunted 20A,0,0,0,1,0,0,0
Frozen Head Unhunted 20B,0,0,0,0,0,0,0
Frozen Head Unhunted 20C,0,0,0,0,0,0,0
Frozen Head Unhunted 21A,0,0,0,0,0,0,0
Frozen Head Unhunted 21B,0,0,0,0,0,0,0
